username,name,blitz_rating,time_control
mike24147,Michael Romero,2497,3+0
mikesailer,Mike Sailer,2237,3+0
mikewier,Michael Wierzbicki,2210,3+2
mikewizard,Mike Hehir,2261,5+0
mikhailsher,Mikhail Sher,2540,3+0
minnesotachessmaster,Joseph Longen,2222,5+0
misidentified1,,1921,3+2
mixmasterchess,Chris Mabe,2243,5+0
mlchen,Michael Chen,2480,300+5
mlchiang,Michael Chiang,2197,3+0
mlyagl,Gnel Melikyan,2650,180+1
mmichaelides,Matthew Michaelides,2294,5+0
mochamp,Ron Luther,2057,3+0
mozzy1995,Deshawn Kelley,2478,3+0
mr-leahy,Kerry J Leahy,2390,3+0
mrludus,Neil Samant,2511,5+2
mrmusicwriter,Alex Shrauger,2535,3+0
mthaler,Michael Thaler,2332,180+1
mvpag,Ashok Gandhi,2262,5+0
mysteriousrook1,,1875,3+2
n_mullodzhanov,Nathaniel Mullodzhanov,2891,5+0
nakperahupetaniaura,,2628,3+0
namdelafuente,Hugo Hyung Ju Nam,2503,3+0
namelesspro,David Hua,2651,3+0
nastypanda,Vladyslav Shevkunov,2507,5+2
nathanhoover,Nathan Hoover,1950,5+0
navnp04,Naveen Prabhu,2674,5+0
nbi1,Peter Stein,1769,360+2
ncchamp,Mark Biernacki,2258,3+0
nefariousnebula,Ethan Hunt,2129,3+2
neilbhav,Neil Bhavikatti,2483,3+0
neistoviupryam,Evgeniy Khain,2449,3+0
nelsi,Nelson M  Ii Lopez,2502,3+0
newlight1,best smith,2529,3+0
nhdoug,Doug Grant,1894,5+0
nick12772,Nicholas Figorito,2626,3+0
nigeldwarf,Alan Morris-Suzuki,2678,3+0
nightlord1,Ilya Serpik,2460,3+0
nikolastheiss,Nikolas Theiss,2478,3+0
nivaanshrivastava,Nivaan Shrivastava,2005,3+0
nm_koval,David Koval,2282,3+0
nmchessadhd,Michael Takahashi,2208,3+2
nmchesstoimpress,Craig Clawitter,2371,3+0
nmchesstoimpress_stream,Craig C.,2297,3+0
nmchesswizard,,2200,3+0
nmcraigheirigs,Craig Heirigs,2048,600
nmmoonraker,William Coe,2304,5+0
nmofpuppets,,2276,3+0
nmpdk,Petros Karagianis,2345,3+0
nmshanmeruga,Shanmukha Meruga,2505,180+1
nmwannabe101,,2096,3+0
nocheatingkid,Samuel He,2596,180+1
nohethto,Noah Thomforde-Toates,2961,3+0
noki102,Nicholas Ladan,2772,3+0
nopawnintended,,2414,3+0
noraa8,,2418,3+0
